,alpha,ratio,observed,twosigdown,onesigdown,expected,onesigup,twosigup
1,-0.973,-6.0,1.82456,24.6462,30.8735,33.0502,36.1313,37.7805
2,-0.9412,-4.0,1.88167,15.1072,15.9708,17.2926,18.5048,19.5364
3,-0.9,-3.0,1.93315,9.97375,11.0015,12.1846,12.887,14.0105
4,-0.8621,-2.5,1.96017,6.55614,8.00491,9.09781,9.74138,10.925
5,-0.8,-2.0,1.97258,4.7672,5.90273,6.61555,7.69725,8.01895
6,-0.6923,-1.5,1.92755,1.94222,3.34115,4.3428,5.24742,6.21741
7,-0.64,-1.333,1.88151,1.59873,2.64113,3.82657,4.72036,5.79204
8,-0.6098,-1.25,1.85086,1.17914,2.20579,3.17831,4.55607,5.64202
9,-0.5,-1.0,1.7008,0.764066,1.4009,2.50548,3.60565,4.5507
10,-0.4098,-0.833,1.53028,0.0,0.754171,1.91761,3.00903,4.23966
11,-0.36,-0.75,1.42372,0.0,0.777803,1.57295,2.94264,3.74492
12,-0.3077,-0.667,1.29865,0.0,0.334895,1.33962,2.59543,3.70604
13,-0.2,-0.5,0.961649,0.0,0.0486332,1.22059,2.26327,3.56856
14,-0.1,-0.333,0.555998,0.0,0.0,0.869848,1.93365,2.88239
15,-0.0588,-0.25,0.363402,0.0,0.0,0.788174,1.79388,2.87506
16,-0.027,-0.167,0.19125,0.0,0.0,0.662762,1.81454,3.46726
17,0.0,-0.0,0.0,0.0,0.0,0.395263,1.69821,3.50629
18,0.027,0.167,0.254639,0.0,0.0,0.338368,1.22481,2.7423
19,0.0588,0.25,0.671324,0.0,0.0,0.150098,1.22311,2.53616
20,0.1,0.333,1.28381,0.0,0.0,0.355919,1.4754,2.75645
21,0.2,0.5,2.38142,0.0,0.0,0.382796,1.43278,2.61024
22,0.3077,0.667,2.70581,0.0,0.0,0.646226,1.63312,2.92375
23,0.36,0.75,2.7427,0.0,0.0,0.786511,1.83751,2.6161
24,0.4098,0.833,2.75208,0.0,0.0,1.02948,2.22256,3.00658
25,0.5,1.0,2.73308,0.0,0.327946,1.49562,2.56293,4.07331
26,0.6098,1.25,2.67477,0.432725,1.41958,2.13316,3.29003,4.18795
27,0.64,1.333,2.65374,0.0434114,1.72893,2.64473,3.71433,4.77626
28,0.6923,1.5,2.60776,1.7215,2.52812,3.34598,4.40714,5.75047
29,0.8,2.0,2.47582,4.16396,4.98593,6.06904,7.13919,15.5384
30,0.8621,2.5,2.36074,6.92119,8.00086,8.85525,10.1371,24.9819
31,0.9,3.0,2.26667,9.20216,10.5358,11.6625,12.862,14.0311
32,0.9412,4.0,2.13251,14.4316,15.3755,16.5049,17.746,18.8061
33,0.973,6.0,1.99251,24.5859,27.397,30.2264,32.1132,35.3065
