,ct,xsec
33,-6.0,18.2556
34,-4.0,8.1136
35,-3.0,4.5639
36,-2.5,3.169375
37,-2.0,2.0284
38,-1.5,1.140975
39,-1.333,0.9010604119
40,-1.25,0.79234375
41,-1.0,0.5071
42,-0.833,0.3518711119
43,-0.75,0.28524375
44,-0.667,0.2256032119
45,-0.5,0.126775
46,-0.333,0.0562318119
47,-0.25,0.03169375
48,-0.167,0.0141425119
49,0.0,0.0
50,0.167,0.0141425119
51,0.25,0.03169375
52,0.333,0.0562318119
53,0.5,0.126775
54,0.667,0.2256032119
55,0.75,0.28524375
56,0.833,0.3518711119
57,1.0,0.5071
58,1.25,0.79234375
59,1.333,0.9010604119
60,1.5,1.140975
61,2.0,2.0284
62,2.5,3.169375
63,3.0,4.5639
64,4.0,8.1136
65,6.0,18.2556
